date,death,pm10,tempf,season
1/1/1987,24,,33.5,Winter
1/2/1987,24,-13.127517,37,Winter
1/3/1987,20,,36,Winter
1/4/1987,26,-28.127518,32,Winter
1/5/1987,23,,33.5,Winter
1/6/1987,23,,32.5,Winter
1/7/1987,21,,42.5,Winter
1/8/1987,28,14.872483,36,Winter
1/9/1987,20,,38,Winter
1/10/1987,26,-8.304348,37.5,Winter
1/11/1987,25,,37.5,Winter
1/12/1987,17,-12.127517,37,Winter
1/13/1987,22,,40,Winter
1/14/1987,22,-14.127517,42.5,Winter
1/15/1987,20,,54,Winter
1/16/1987,20,-4.5,45,Winter
1/17/1987,23,,31,Winter
1/18/1987,25,-20.127518,33,Winter
1/19/1987,12,,35.5,Winter
1/20/1987,23,-16.127518,37,Winter
1/21/1987,23,,36,Winter
1/22/1987,31,-8.902174,29,Winter
1/23/1987,17,,21.5,Winter
1/24/1987,26,,14,Winter
1/25/1987,20,,10.5,Winter
1/26/1987,24,,21.5,Winter
1/27/1987,26,,15.5,Winter
1/28/1987,23,,15,Winter
1/29/1987,26,,28.5,Winter
1/30/1987,29,8.8724833,33,Winter
1/31/1987,18,,35.5,Winter
2/1/1987,24,-31.127518,30,Winter
2/2/1987,25,,42.5,Winter
2/3/1987,17,19.872482,42,Winter
2/4/1987,19,,38.5,Winter
2/5/1987,28,-22.127518,33,Winter
2/6/1987,24,,37,Winter
2/7/1987,15,94.872482,38.5,Winter
2/8/1987,26,,38.5,Winter
2/9/1987,29,-3.5,30,Winter
2/10/1987,18,,32.5,Winter
2/11/1987,17,,35,Winter
2/12/1987,21,,33,Winter
2/13/1987,31,19.872482,37.5,Winter
2/14/1987,13,,29,Winter
2/15/1987,17,-7.1275167,23.5,Winter
2/16/1987,22,,21.5,Winter
2/17/1987,24,-14.127517,34,Winter
2/18/1987,23,,36,Winter
2/19/1987,21,,34,Winter
2/20/1987,16,,33,Winter
2/21/1987,26,-10.902174,38,Winter
2/22/1987,11,,34.5,Winter
2/23/1987,22,13.872483,38.5,Winter
2/24/1987,21,,38,Winter
2/25/1987,13,,36.5,Winter
2/26/1987,27,,34,Winter
2/27/1987,18,-9.5,34,Winter
2/28/1987,21,,35,Winter
3/1/1987,19,-13.127517,56,Winter
3/2/1987,32,,46.5,Winter
3/3/1987,31,-20.127518,44.5,Winter
3/4/1987,22,,32.5,Winter
3/5/1987,12,-25.127518,34,Winter
3/6/1987,27,,40,Winter
3/7/1987,19,29.872482,55,Winter
3/8/1987,27,,58.5,Winter
3/9/1987,18,27.872482,49,Winter
3/10/1987,18,,29,Winter
3/11/1987,10,-13.127517,28,Winter
3/12/1987,25,,38.5,Winter
3/13/1987,27,-9.1275167,38.5,Winter
3/14/1987,32,,38.5,Winter
3/15/1987,19,-9.1275167,38,Winter
3/16/1987,19,,41.5,Winter
3/17/1987,19,9.8724833,41,Winter
3/18/1987,9,,45.5,Winter
3/19/1987,16,5.8724833,46.5,Winter
3/20/1987,20,,46,Winter
3/21/1987,19,-35.127518,46.5,Winter
3/22/1987,23,,52,Winter
3/23/1987,34,-31.902174,51.5,Winter
3/24/1987,19,,53.5,Winter
3/25/1987,17,,51,Winter
3/26/1987,23,,55.5,Winter
